px0,py0,pz0,x0,y0,z0,px1,py1,pz1,x1,y1,z1
0,0,5012.24,-408.458,-3372.17,-14963.3,-30.1494,102.62,1808.77,-325.349,-3062.92,7500
0,0,5870.73,640.889,4644.84,-14989.6,-136.174,-31.316,2079.41,224.608,4697.72,7500
0,0,4416.77,351.111,1805.84,-14940.1,-107.929,91.9457,1198.64,33.45,2198.19,7500
0,0,4143.81,825.17,5731.04,-14903,-93.2617,-1.81138,708.86,247.095,5809.19,7500
0,0,5647.2,-4844.71,-2275.87,-14740,-6.51748,-24.6156,2072.48,-4799.77,-2366.47,7500
0,0,2476.18,-1611.03,4027.48,-14839.8,-0,-0,0,-2045.94,3916.3,2332.34
0,0,4772.52,-1232.01,3202.84,-14964.2,-19.7581,58.1778,1553.66,-1390.39,3376.87,7500
0,0,4021.15,3509.56,-3216.28,-14915.9,-71.935,-3.47298,823.866,2863.76,-3037.39,7500
0,0,5518.43,-4303.31,2844.16,-14947.1,-28.4746,97.9469,1717.34,-4304.9,3189.24,7500
0,0,2319.75,-2359.49,-3043.51,-14844.2,-0,0,0,-2726.67,-2805.54,1665.45
0,0,1809.38,-3378.1,-2738.23,-14699.5,0,0,0,-3539.93,-2858.57,513.932
0,0,2761.38,-146.563,-4968.5,-14989.9,-0,-0,0,-225.697,-4851.73,3413.62
0,0,5879.49,2770.15,-3497.17,-14354.4,-58.4565,-33.7969,2109.05,2616.33,-3710.32,7500
0,0,4063.45,-5597.48,4501.14,-14739.9,24.8123,-52.2949,814.416,-5674.13,4272.15,7500
0,0,2820.25,-4556.48,-1290.27,-14949.4,-0,0,0,-4406.73,-1154.06,3816.65
0,0,2727.7,5064.56,-67.4553,-14989.1,0,-0,0,5154.58,-212.732,3271.07
0,0,5848.76,3308.39,1364.29,-14964.5,-111.723,-25.6104,1615.49,3028.73,1219.79,7500
0,0,1884.97,-1640.6,-1022.27,-14920.8,-0,0,0,-1698.57,-829.764,679.192
0,0,4235.11,4238.96,-992.219,-14968,-27.7364,-5.11629,982.398,4066.69,-896.565,7500
0,0,5813.31,405.932,-3688.39,-14936,-185.126,77.5149,1928.81,-77.395,-3567.37,7500
0,0,5628.45,4374.2,-4249.64,-14887.3,-124.968,24.595,2399.59,4062.54,-4165.06,7500
0,0,3382.03,3079.25,1683.2,-14654.3,-6.86771,23.6187,193.045,3471.01,1915.2,7500
0,0,5133.76,-4091.12,-1836.65,-14606,35.5397,92.2272,1868.31,-4080.76,-1654.8,7500
0,0,2256.98,1920.01,1151.83,-14991.5,-0,-0,0,1884.33,1461.94,1682.81
0,0,3686.85,2189.91,-560.088,-14852.1,-16.7544,74.505,507.145,1975.68,119.727,7500
0,0,1743.56,-2257.5,-394.615,-14951.8,0,0,0,-2296.01,-85.9604,195.227
0,0,4029.61,-256.918,1496.19,-14874.3,4.7368,6.74883,869.25,-272.256,1540.1,7500
0,0,1054.2,-849.52,4943.01,-14877.4,-0,-0,0,-623.934,4698.41,-2189.62
0,0,4909.26,-2293.49,4568.63,-14858.8,42.4194,-3.94354,1253.83,-2214.87,4348.92,7500
0,0,5179.67,-3701.35,3236.03,-14645.4,159.128,-52.289,1851.36,-3171.07,3143.45,7500
0,0,2764.55,1102.82,4677.27,-14860.1,0,0,0,1175.79,4547.64,3558.52
0,0,1691.6,-2138.91,4915.38,-14986,0,-0,0,-1981.8,4546.56,393.827
0,0,5160.2,-4036.36,-4597.51,-14817.6,-93.1915,-54.2836,1554.27,-4290.03,-4753.6,7500
0,0,5725.21,-1574.88,2318.96,-14879.8,95.7505,-61.6746,2516.68,-1272.84,2136.12,7500
0,0,2474.11,4497.89,2198.7,-14961.1,0,0,0,4826.76,2569.68,2175.16
0,0,4736.45,-3290.42,-2781.34,-14952.8,23.3852,-67.7109,1332.91,-3082.45,-2856.66,7500
0,0,2368.59,3363.87,-231.963,-14853.3,-0,-0,0,3157.71,-126.03,1987.98
0,0,1914.81,719.656,-3246.22,-14963.6,0,-0,0,129.233,-3261.45,646.769
